FantPos,Age,G,GS,PPR
RB,27,16,16,391.3
WR,24,17,17,403.2
QB,27,17,17,392.6
WR,29,16,16,376.4
QB,25,17,17,356.8
RB,31,15,15,267.7
WR,24,16,16,330.9
QB,30,17,17,342.8
WR,30,17,17,282.5
QB,26,16,16,331.2
TE,22,17,14,239.3
RB,24,17,17,282.4
RB,23,12,11,255.0
WR,22,17,17,298.5
WR,26,17,17,286.5
RB,29,17,17,246.7
RB,27,17,17,267.0
QB,25,17,17,319.1
RB,22,17,16,290.5
WR,26,17,17,289.6
WR,27,15,15,243.7
TE,30,16,16,203.2
WR,24,15,10,260.4
RB,24,17,17,267.9
WR,25,16,16,249.2
TE,34,15,15,219.4
WR,31,13,13,278.9
TE,26,15,11,219.0
WR,30,17,17,273.8
TE,27,16,16,201.2
QB,24,16,16,295.6
RB,26,14,14,207.2
WR,23,16,16,262.7
WR,31,17,17,265.4
RB,21,15,3,242.1
TE,29,17,15,230.3
RB,24,17,13,232.7
RB,21,17,16,246.3
WR,26,16,16,225.4
QB,29,17,17,289.1
TE,33,16,7,143.5
WR,29,15,15,227.0
RB,26,14,14,223.2
WR,29,17,17,229.9
WR,23,16,13,217.2
TE,24,17,17,181.1
WR,21,17,14,221.3
TE,24,17,16,177.1
WR,31,17,16,223.6
QB,28,16,16,280.2
WR,27,16,16,218.6
RB,28,13,13,201.5
RB,28,17,9,187.0
WR,25,16,16,227.6
WR,22,17,16,208.8
TE,24,17,12,181.5
WR,23,16,11,231.3
QB,22,15,15,276.0
RB,23,15,15,199.4
QB,28,17,17,274.1
RB,24,14,13,213.9
WR,26,16,15,250.2
RB,26,17,17,222.6
RB,24,17,12,211.2
RB,25,17,17,195.5
QB,25,17,17,270.4
TE,27,15,8,150.5
TE,28,10,9,135.4
RB,22,11,4,190.7
WR,24,10,9,202.2
RB,24,15,15,198.1
WR,23,16,8,212.5
RB,24,16,15,199.3
WR,28,16,14,190.2
WR,28,17,17,209.2
QB,24,16,16,262.5
QB,23,17,17,257.5
QB,35,15,15,256.9
QB,35,15,15,243.1
QB,32,17,17,241.1
QB,25,13,13,234.2
QB,24,13,13,230.2
QB,33,15,15,227.3
QB,28,13,12,200.7
QB,27,17,13,196.2
QB,24,15,13,177.1
RB,28,13,12,233.0
QB,22,16,16,156.4
QB,35,8,8,149.7
QB,27,10,10,147.2
QB,26,8,8,146.4
RB,24,17,12,182.5
RB,25,13,13,181.1
QB,27,9,7,144.4
RB,26,14,8,169.6
RB,26,17,10,167.3
RB,24,10,7,156.4
RB,25,17,0,196.4
RB,28,14,14,185.4
RB,23,16,13,179.2
WR,23,16,16,206.4
WR,33,17,17,231.0
WR,25,14,14,198.6
WR,27,17,17,209.2
QB,25,11,10,125.8
RB,28,17,5,174.5
WR,31,17,17,202.4
RB,23,17,3,137.6
QB,24,12,11,119.9
WR,30,16,15,173.2
WR,24,11,8,165.0
WR,23,17,17,213.2
WR,24,17,17,161.4
WR,23,17,16,174.4
QB,25,12,12,110.2
WR,25,15,8,155.6
RB,25,12,12,145.7
QB,25,11,11,106.4
RB,29,11,11,134.9
WR,30,12,12,164.4
WR,22,16,16,174.4
RB,28,15,2,118.5
RB,25,16,13,133.2
WR,27,13,11,152.7
QB,24,9,9,102.0
RB,22,17,1,153.8
QB,38,5,5,100.8
WR,26,17,13,151.0
RB,25,15,6,117.6
WR,24,12,11,137.6
WR,27,16,13,157.2
QB,25,9,6,93.5
RB,25,12,9,112.5
WR,27,12,12,150.3
WR,22,17,9,157.1
WR,28,17,13,128.8
WR,24,16,11,141.8
WR,21,17,3,149.8
QB,34,11,5,87.3
QB,28,6,6,86.8
WR,26,14,14,134.7
TE,23,17,15,137.3
WR,27,15,11,115.5
RB,26,16,5,109.3
WR,22,15,6,119.8
RB,25,17,4,101.0
RB,27,9,8,91.2
QB,35,10,8,80.0
RB,25,16,2,127.4
WR,29,17,13,144.8
TE,29,14,10,119.9
TE,28,14,14,136.3
TE,24,16,11,150.3
WR,23,13,12,114.5
WR,23,17,16,124.8
RB,25,16,0,91.5
RB,23,17,3,106.0
WR,23,17,10,113.1
TE,28,17,6,124.2
WR,24,16,14,112.4
WR,31,14,6,107.5
RB,22,16,2,106.1
WR,23,17,12,132.1
QB,21,4,4,72.7
WR,22,15,8,133.2
WR,24,9,9,101.3
WR,26,16,12,120.0
TE,32,16,15,126.8
TE,23,17,8,101.1
RB,28,17,1,121.3
TE,24,17,17,116.5
RB,23,14,7,82.7
WR,27,10,7,101.6
WR,24,10,6,106.7
QB,24,10,6,69.2
RB,22,15,0,102.1
QB,28,5,4,67.6
RB,24,16,2,97.4
QB,28,5,3,66.7
QB,30,5,4,66.0
RB,33,16,4,82.9
WR,23,17,8,105.0
QB,32,7,6,64.1
WR,28,8,5,100.0
WR,23,17,16,95.4
WR,30,17,3,97.1
TE,28,17,12,123.1
TE,30,15,15,108.5
WR,29,17,3,97.4
WR,28,16,8,89.0
TE,27,13,11,97.8
RB,21,8,2,69.9
WR,29,16,4,87.4
