Player,Tm,FantPos,PPR,-9999
Christian McCaffrey*+,SFO,RB,24.5,McCaCh01
CeeDee Lamb*+,DAL,WR,23.7,LambCe00
Josh Allen,BUF,QB,23.1,AlleJo02
Tyreek Hill*+,MIA,WR,23.5,HillTy00
Jalen Hurts*,PHI,QB,21.0,HurtJa00
Raheem Mostert*,MIA,RB,17.8,MostRa00
Amon-Ra St. Brown*+,DET,WR,20.7,StxxAm00
Dak Prescott*,DAL,QB,20.2,PresDa01
Mike Evans*,TAM,WR,16.6,EvanMi00
Lamar Jackson*+,BAL,QB,20.7,JackLa00
Sam LaPorta*,DET,TE,14.1,LaPoSa01
Travis Etienne,JAX,RB,16.6,EtieTr00
Kyren Williams*,LAR,RB,21.3,WillKy02
Puka Nacua*,LAR,WR,17.6,NacuPu00
D.J. Moore,CHI,WR,16.9,MoorD.00
Derrick Henry*,TEN,RB,14.5,HenrDe00
Joe Mixon,CIN,RB,15.7,MixoJo00
Jordan Love,GNB,QB,18.8,LoveJo03
Breece Hall,NYJ,RB,17.1,HallBr03
A.J. Brown*,PHI,WR,17.0,BrowAJ00
Deebo Samuel,SFO,WR,16.2,SamuDe00
George Kittle*+,SFO,TE,12.7,KittGe00
Nico Collins,HOU,WR,17.4,CollNi00
Rachaad White,TAM,RB,15.8,WhitRa01
Brandon Aiyuk,SFO,WR,15.6,AiyuBr00
Travis Kelce*,KAN,TE,14.6,KelcTr00
Keenan Allen*,LAC,WR,21.5,AlleKe00
T.J. Hockenson,MIN,TE,14.6,HockTJ00
Stefon Diggs*,BUF,WR,16.1,DiggSt00
David Njoku*,CLE,TE,12.6,NjokDa00
Brock Purdy*,SFO,QB,18.5,PurdBr00
David Montgomery,DET,RB,14.8,MontDa01
Ja'Marr Chase*,CIN,WR,16.4,ChasJa00
Davante Adams,LVR,WR,15.6,AdamDa01
Jahmyr Gibbs*,DET,RB,16.1,GibbJa01
Evan Engram*,JAX,TE,13.5,EngrEv00
James Cook*,BUF,RB,13.7,CookJa01
Bijan Robinson,ATL,RB,14.5,RobiBi01
D.K. Metcalf*,SEA,WR,14.1,MetcDK00
Jared Goff,DET,QB,17.0,GoffJa00
Taysom Hill,NOR,TE,8.97,HillTa00
Amari Cooper*,CLE,WR,15.1,CoopAm00
Saquon Barkley,NYG,RB,15.9,BarkSa00
Calvin Ridley,JAX,WR,13.5,RidlCa00
Jayden Reed,GNB,WR,13.6,ReedJa03
Cole Kmet,CHI,TE,10.7,KmetCo00
Jordan Addison,MIN,WR,13.0,AddiJo00
Jake Ferguson*,DAL,TE,10.4,FergJa00
DeAndre Hopkins,TEN,WR,13.2,HopkDe00
Patrick Mahomes*,KAN,QB,17.5,MahoPa00
Jakobi Meyers,LVR,WR,13.7,MeyeJa01
James Conner,ARI,RB,15.5,ConnJa00
Gus Edwards,BAL,RB,11.0,EdwaGu00
DeVonta Smith,PHI,WR,14.2,SmitDe07
George Pickens,PIT,WR,12.3,PickGe00
Trey McBride,ARI,TE,10.7,McBrTr01
Chris Olave,NOR,WR,14.5,OlavCh00
C.J. Stroud*,HOU,QB,18.4,StroCJ00
Kenneth Walker III,SEA,RB,13.3,WalkKe00
Baker Mayfield*,TAM,QB,16.1,MayfBa00
Isiah Pacheco,KAN,RB,15.3,PachIs00
Michael Pittman Jr.,IND,WR,15.6,PittMi01
Tony Pollard,DAL,RB,13.1,PollTo00
Jerome Ford,CLE,RB,12.4,FordJe00
Najee Harris,PIT,RB,11.5,HarrNa00
Tua Tagovailoa*,MIA,QB,15.9,TagoTu00
Dalton Schultz,HOU,TE,10.0,SchuDa00
Mark Andrews,BAL,TE,13.5,AndrMa00
De'Von Achane,MIA,RB,17.3,AchaDe00
Justin Jefferson,MIN,WR,20.2,JeffJu00
Brian Robinson Jr.,WAS,RB,13.2,RobiBr01
Rashee Rice,KAN,WR,13.3,RiceRa01
D'Andre Swift*,PHI,RB,12.5,SwifDA00
Courtland Sutton,DEN,WR,11.9,SuttCo00
Terry McLaurin,WAS,WR,12.3,McLaTe00
Trevor Lawrence,JAX,QB,16.4,LawrTr00
Sam Howell,WAS,QB,15.1,HoweSa00
Russell Wilson,DEN,QB,17.1,WilsRu00
Matthew Stafford*,LAR,QB,16.2,StafMa00
Derek Carr,NOR,QB,14.2,CarrDe02
Justin Herbert,LAC,QB,18.0,HerbJu00
Justin Fields,CHI,QB,17.7,FielJu00
Geno Smith*,SEA,QB,15.2,SmitGe00
Joshua Dobbs,2TM,QB,15.4,DobbJo00
Gardner Minshew II*,IND,QB,11.5,MinsGa00
Desmond Ridder,ATL,QB,11.8,RiddDe00
Alvin Kamara,NOR,RB,17.9,KamaAl00
Bryce Young,CAR,QB,9.78,YounBr01
Kirk Cousins,MIN,QB,18.7,CousKi00
Joe Burrow,CIN,QB,14.7,BurrJo01
Kyler Murray,ARI,QB,18.3,MurrKy00
Chuba Hubbard,CAR,RB,10.7,HubbCh01
Josh Jacobs,LVR,RB,13.9,JacoJo01
Jake Browning,CIN,QB,16.0,BrowJa08
Zack Moss,IND,RB,12.1,MossZa00
Devin Singletary,HOU,RB,9.84,SingDe00
Jonathan Taylor,IND,RB,15.6,TaylJo02
Jaylen Warren,PIT,RB,11.6,WarrJa01
Austin Ekeler,LAC,RB,13.2,EkelAu00
Javonte Williams,DEN,RB,11.2,WillJa10
Zay Flowers,BAL,WR,12.9,FlowZa00
Adam Thielen,CAR,WR,13.6,ThieAd00
Jaylen Waddle,MIA,WR,14.2,WaddJa00
Chris Godwin,TAM,WR,12.3,GodwCh00
Aidan O'Connell,LVR,QB,11.4,OConAi00
Ezekiel Elliott,NWE,RB,10.3,ElliEz00
Tyler Lockett,SEA,WR,11.9,LockTy00
Tyler Allgeier,ATL,RB,8.09,AllgTy00
Zach Wilson,NYJ,QB,9.99,WilsZa00
Brandin Cooks,DAL,WR,10.8,CookBr00
Tank Dell,HOU,WR,15.0,DellNa00
Garrett Wilson,NYJ,WR,12.5,WilsGa00
Gabriel Davis,BUF,WR,9.49,DaviGa01
Romeo Doubs,GNB,WR,10.3,DoubRo00
Kenny Pickett,PIT,QB,9.18,PickKe00
Rashid Shaheed*+,NOR,WR,10.4,ShahRa00
Rhamondre Stevenson,NWE,RB,12.1,StevRh00
Mac Jones,NWE,QB,9.67,JoneMa05
Aaron Jones,GNB,RB,12.3,JoneAa00
Cooper Kupp,LAR,WR,13.7,KuppCo00
Drake London,ATL,WR,10.9,LondDr00
Kareem Hunt,CLE,RB,7.90,HuntKa00
Alexander Mattison,MIN,RB,8.32,MattAl01
Diontae Johnson,PIT,WR,11.7,JohnDi01
Will Levis,TEN,QB,11.3,LeviWi00
Tyjae Spears,TEN,RB,9.05,SpeaTy00
Joe Flacco,CLE,QB,20.2,FlacJo00
Darius Slayton,NYG,WR,8.88,SlayDa01
AJ Dillon,GNB,RB,7.84,DillAJ00
Tee Higgins,CIN,WR,11.5,HiggTe00
Curtis Samuel,WAS,WR,9.82,SamuCu00
Tommy DeVito,NYG,QB,10.4,DeViTo00
Khalil Herbert,CHI,RB,9.38,HerbKh00
Christian Kirk,JAX,WR,12.5,KirkCh01
Josh Downs,IND,WR,9.24,DownJo00
Josh Reynolds,DET,WR,7.58,ReynJo00
Jerry Jeudy,DEN,WR,8.86,JeudJe00
Jaxon Smith-Njigba,SEA,WR,8.81,SmitJa06
Tyrod Taylor,NYG,QB,7.94,TaylTy00
Deshaun Watson,CLE,QB,14.5,WatsDe00
Marquise Brown,ARI,WR,9.62,BrowMa04
Kyle Pitts,ATL,TE,8.08,PittKy00
DJ Chark,CAR,WR,7.70,CharDJ00
Justice Hill,BAL,RB,6.83,HillJu00
Dontayvion Wicks,GNB,WR,7.99,WickDo00
Ty Chandler,MIN,RB,5.94,ChanTy01
D'Onta Foreman,CHI,RB,10.1,ForeDO00
Ryan Tannehill,TEN,QB,8.00,TannRy00
Antonio Gibson,WAS,RB,7.96,GibsAn00
Tyler Boyd,CIN,WR,8.52,BoydTy00
Hunter Henry,NWE,TE,8.56,HenrHu00
Dallas Goedert,PHI,TE,9.74,GoedDa00
Dalton Kincaid,BUF,TE,9.39,KincDa00
Michael Wilson,ARI,WR,8.81,WilsMi02
Jahan Dotson,WAS,WR,7.34,DotsJa00
Rico Dowdle,DAL,RB,5.72,DowdRi01
Jaleel McLaughlin,DEN,RB,6.24,McLaJa00
Khalil Shakir,BUF,WR,6.65,ShakKh00
Jonnu Smith,ATL,TE,7.31,SmitJo01
Tutu Atwell,LAR,WR,7.03,AtweTu00
Odell Beckham Jr.,BAL,WR,7.68,BeckOd00
Zach Charbonnet,SEA,RB,6.63,CharZa00
Elijah Moore,CLE,WR,7.77,MoorEl00
Anthony Richardson,IND,QB,18.2,RichAn03
Wan'Dale Robinson,NYG,WR,8.88,RobiWa01
Christian Watson,GNB,WR,11.3,WatsCh00
K.J. Osborn,MIN,WR,7.50,OsboKJ00
Logan Thomas,WAS,TE,7.92,ThomLo00
Isaiah Likely,BAL,TE,5.95,LikeIs00
Samaje Perine,DEN,RB,7.14,PeriSa00
