Tm,PPR
SFO,391.3
DAL,403.2
BUF,392.6
MIA,376.4
PHI,356.8
MIA,267.7
DET,330.9
DAL,342.8
TAM,282.5
BAL,331.2
DET,239.3
JAX,282.4
LAR,255.0
LAR,298.5
CHI,286.5
TEN,246.7
CIN,267.0
GNB,319.1
NYJ,290.5
PHI,289.6
SFO,243.7
SFO,203.2
HOU,260.4
TAM,267.9
SFO,249.2
KAN,219.4
LAC,278.9
MIN,219.0
BUF,273.8
CLE,201.2
SFO,295.6
DET,207.2
CIN,262.7
LVR,265.4
DET,242.1
JAX,230.3
BUF,232.7
ATL,246.3
SEA,225.4
DET,289.1
NOR,143.5
CLE,227.0
NYG,223.2
JAX,229.9
GNB,217.2
CHI,181.1
MIN,221.3
DAL,177.1
TEN,223.6
KAN,280.2
LVR,218.6
ARI,201.5
BAL,187.0
PHI,227.6
PIT,208.8
ARI,181.5
NOR,231.3
HOU,276.0
SEA,199.4
TAM,274.1
KAN,213.9
IND,250.2
DAL,222.6
CLE,211.2
PIT,195.5
MIA,270.4
HOU,150.5
BAL,135.4
MIA,190.7
MIN,202.2
WAS,198.1
KAN,212.5
PHI,199.3
DEN,190.2
WAS,209.2
JAX,262.5
WAS,257.5
DEN,256.9
LAR,243.1
NOR,241.1
LAC,234.2
CHI,230.2
SEA,227.3
2TM,200.7
IND,196.2
ATL,177.1
NOR,233.0
CAR,156.4
MIN,149.7
CIN,147.2
ARI,146.4
CAR,182.5
LVR,181.1
CIN,144.4
IND,169.6
HOU,167.3
IND,156.4
PIT,196.4
LAC,185.4
DEN,179.2
BAL,206.4
CAR,231.0
MIA,198.6
TAM,209.2
LVR,125.8
NWE,174.5
SEA,202.4
ATL,137.6
NYJ,119.9
DAL,173.2
HOU,165.0
NYJ,213.2
BUF,161.4
GNB,174.4
PIT,110.2
NOR,155.6
NWE,145.7
NWE,106.4
GNB,134.9
LAR,164.4
ATL,174.4
CLE,118.5
MIN,133.2
PIT,152.7
TEN,102.0
TEN,153.8
CLE,100.8
NYG,151.0
GNB,117.6
CIN,137.6
WAS,157.2
NYG,93.5
CHI,112.5
JAX,150.3
IND,157.1
DET,128.8
DEN,141.8
SEA,149.8
NYG,87.3
CLE,86.8
ARI,134.7
ATL,137.3
CAR,115.5
BAL,109.3
GNB,119.8
MIN,101.0
CHI,91.2
TEN,80.0
WAS,127.4
CIN,144.8
NWE,119.9
PHI,136.3
BUF,150.3
ARI,114.5
WAS,124.8
DAL,91.5
DEN,106.0
BUF,113.1
ATL,124.2
LAR,112.4
BAL,107.5
SEA,106.1
CLE,132.1
IND,72.7
NYG,133.2
GNB,101.3
MIN,120.0
WAS,126.8
BAL,101.1
DEN,121.3
TAM,116.5
HOU,82.7
HOU,101.6
LAC,106.7
NWE,69.2
CHI,102.1
LAC,67.6
PHI,97.4
MIN,66.7
ATL,66.0
BUF,82.9
ARI,105.0
LVR,64.1
NWE,100.0
IND,95.4
BAL,97.1
NYJ,123.1
LAR,108.5
DET,97.4
KAN,89.0
NOR,97.8
BAL,69.9
LAR,87.4
CAR,87.6
NYG,113.2
LAC,111.1
KAN,84.4
TEN,113.4
LVR,73.9
NWE,107.2
NYG,57.0
TAM,95.7
TEN,85.0
LAC,94.0
DET,80.3
DAL,87.8
DEN,73.4
LAC,61.7
CHI,53.3
KAN,70.1
LAC,79.5
LVR,71.8
ARI,73.3
NOR,89.8
DEN,70.7
NOR,60.6
PIT,48.7
HOU,89.3
GNB,78.5
CHI,78.9
DAL,59.7
MIA,69.6
TEN,68.3
BAL,76.5
LAR,46.2
PIT,76.8
JAX,78.1
LVR,71.4
IND,73.0
KAN,70.6
NOR,60.8
SFO,44.7
CAR,84.8
SFO,47.5
ARI,64.5
SEA,73.4
CIN,80.2
GNB,75.2
CIN,53.5
PIT,39.6
NYG,60.0
NWE,72.4
SEA,56.9
NYJ,58.7
CIN,62.6
MIN,67.1
CLE,42.8
DEN,60.4
NYG,60.3
NYJ,60.1
SEA,61.7
MIA,71.6
DAL,58.8
CAR,60.4
2TM,46.7
IND,49.1
PIT,52.7
NWE,65.4
CIN,50.6
WAS,37.9
KAN,56.5
CLE,48.7
2TM,58.8
LAR,43.5
DEN,47.2
HOU,50.9
SFO,51.5
BUF,54.6
NOR,43.3
KAN,53.7
NWE,61.0
MIA,57.9
MIN,53.3
LAC,50.2
NYG,46.9
GNB,45.9
LAC,45.2
SEA,29.1
HOU,38.8
NOR,33.9
ATL,39.1
ATL,36.9
PIT,62.0
CIN,50.3
PHI,38.4
MIA,42.9
IND,35.7
NYJ,27.0
DEN,26.6
MIA,41.3
JAX,40.3
NYG,50.5
TAM,39.7
BAL,25.6
KAN,53.0
LAR,26.1
SFO,30.8
NWE,37.8
CLE,37.9
2TM,40.2
ARI,51.7
BUF,40.0
ATL,43.1
JAX,34.8
BUF,32.4
PHI,36.4
2TM,32.2
SFO,38.5
NOR,46.3
DET,29.6
CAR,32.5
TEN,39.9
CAR,23.6
CAR,42.4
LVR,48.5
WAS,22.9
WAS,35.0
SFO,23.4
SEA,40.2
2TM,30.0
ATL,37.2
LVR,48.4
MIN,40.2
CLE,44.2
JAX,39.2
LVR,41.0
JAX,22.8
ARI,36.3
NWE,28.5
LAC,32.5
CLE,22.1
JAX,21.5
LAC,35.7
