Rk,Player,FantPos,PPR,-9999
1,Christian McCaffrey*+,RB,24.5,McCaCh01
2,CeeDee Lamb*+,WR,23.7,LambCe00
3,Josh Allen,QB,23.1,AlleJo02
4,Tyreek Hill*+,WR,23.5,HillTy00
5,Jalen Hurts*,QB,21.0,HurtJa00
6,Raheem Mostert*,RB,17.8,MostRa00
7,Amon-Ra St. Brown*+,WR,20.7,StxxAm00
8,Dak Prescott*,QB,20.2,PresDa01
9,Mike Evans*,WR,16.6,EvanMi00
10,Lamar Jackson*+,QB,20.7,JackLa00
11,Sam LaPorta*,TE,14.1,LaPoSa01
12,Travis Etienne,RB,16.6,EtieTr00
13,Kyren Williams*,RB,21.3,WillKy02
14,Puka Nacua*,WR,17.6,NacuPu00
15,D.J. Moore,WR,16.9,MoorD.00
16,Derrick Henry*,RB,14.5,HenrDe00
17,Joe Mixon,RB,15.7,MixoJo00
18,Jordan Love,QB,18.8,LoveJo03
19,Breece Hall,RB,17.1,HallBr03
20,A.J. Brown*,WR,17.0,BrowAJ00
21,Deebo Samuel,WR,16.2,SamuDe00
22,George Kittle*+,TE,12.7,KittGe00
23,Nico Collins,WR,17.4,CollNi00
24,Rachaad White,RB,15.8,WhitRa01
25,Brandon Aiyuk,WR,15.6,AiyuBr00
26,Travis Kelce*,TE,14.6,KelcTr00
27,Keenan Allen*,WR,21.5,AlleKe00
28,T.J. Hockenson,TE,14.6,HockTJ00
29,Stefon Diggs*,WR,16.1,DiggSt00
30,David Njoku*,TE,12.6,NjokDa00
31,Brock Purdy*,QB,18.5,PurdBr00
32,David Montgomery,RB,14.8,MontDa01
33,Ja'Marr Chase*,WR,16.4,ChasJa00
34,Davante Adams,WR,15.6,AdamDa01
35,Jahmyr Gibbs*,RB,16.1,GibbJa01
36,Evan Engram*,TE,13.5,EngrEv00
37,James Cook*,RB,13.7,CookJa01
38,Bijan Robinson,RB,14.5,RobiBi01
39,D.K. Metcalf*,WR,14.1,MetcDK00
40,Jared Goff,QB,17.0,GoffJa00
41,Taysom Hill,TE,8.97,HillTa00
42,Amari Cooper*,WR,15.1,CoopAm00
43,Saquon Barkley,RB,15.9,BarkSa00
44,Calvin Ridley,WR,13.5,RidlCa00
45,Jayden Reed,WR,13.6,ReedJa03
46,Cole Kmet,TE,10.7,KmetCo00
47,Jordan Addison,WR,13.0,AddiJo00
48,Jake Ferguson*,TE,10.4,FergJa00
49,DeAndre Hopkins,WR,13.2,HopkDe00
50,Patrick Mahomes*,QB,17.5,MahoPa00
51,Jakobi Meyers,WR,13.7,MeyeJa01
52,James Conner,RB,15.5,ConnJa00
53,Gus Edwards,RB,11.0,EdwaGu00
54,DeVonta Smith,WR,14.2,SmitDe07
55,George Pickens,WR,12.3,PickGe00
56,Trey McBride,TE,10.7,McBrTr01
57,Chris Olave,WR,14.5,OlavCh00
58,C.J. Stroud*,QB,18.4,StroCJ00
59,Kenneth Walker III,RB,13.3,WalkKe00
60,Baker Mayfield*,QB,16.1,MayfBa00
61,Isiah Pacheco,RB,15.3,PachIs00
62,Michael Pittman Jr.,WR,15.6,PittMi01
63,Tony Pollard,RB,13.1,PollTo00
64,Jerome Ford,RB,12.4,FordJe00
65,Najee Harris,RB,11.5,HarrNa00
66,Tua Tagovailoa*,QB,15.9,TagoTu00
67,Dalton Schultz,TE,10.0,SchuDa00
68,Mark Andrews,TE,13.5,AndrMa00
69,De'Von Achane,RB,17.3,AchaDe00
70,Justin Jefferson,WR,20.2,JeffJu00
71,Brian Robinson Jr.,RB,13.2,RobiBr01
72,Rashee Rice,WR,13.3,RiceRa01
73,D'Andre Swift*,RB,12.5,SwifDA00
74,Courtland Sutton,WR,11.9,SuttCo00
75,Terry McLaurin,WR,12.3,McLaTe00
76,Trevor Lawrence,QB,16.4,LawrTr00
77,Sam Howell,QB,15.1,HoweSa00
78,Russell Wilson,QB,17.1,WilsRu00
79,Matthew Stafford*,QB,16.2,StafMa00
80,Derek Carr,QB,14.2,CarrDe02
81,Justin Herbert,QB,18.0,HerbJu00
82,Justin Fields,QB,17.7,FielJu00
83,Geno Smith*,QB,15.2,SmitGe00
84,Joshua Dobbs,QB,15.4,DobbJo00
85,Gardner Minshew II*,QB,11.5,MinsGa00
86,Desmond Ridder,QB,11.8,RiddDe00
87,Alvin Kamara,RB,17.9,KamaAl00
88,Bryce Young,QB,9.78,YounBr01
89,Kirk Cousins,QB,18.7,CousKi00
90,Joe Burrow,QB,14.7,BurrJo01
91,Kyler Murray,QB,18.3,MurrKy00
92,Chuba Hubbard,RB,10.7,HubbCh01
93,Josh Jacobs,RB,13.9,JacoJo01
94,Jake Browning,QB,16.0,BrowJa08
95,Zack Moss,RB,12.1,MossZa00
96,Devin Singletary,RB,9.84,SingDe00
97,Jonathan Taylor,RB,15.6,TaylJo02
98,Jaylen Warren,RB,11.6,WarrJa01
99,Austin Ekeler,RB,13.2,EkelAu00
100,Javonte Williams,RB,11.2,WillJa10
101,Zay Flowers,WR,12.9,FlowZa00
102,Adam Thielen,WR,13.6,ThieAd00
103,Jaylen Waddle,WR,14.2,WaddJa00
104,Chris Godwin,WR,12.3,GodwCh00
105,Aidan O'Connell,QB,11.4,OConAi00
106,Ezekiel Elliott,RB,10.3,ElliEz00
107,Tyler Lockett,WR,11.9,LockTy00
108,Tyler Allgeier,RB,8.09,AllgTy00
109,Zach Wilson,QB,9.99,WilsZa00
110,Brandin Cooks,WR,10.8,CookBr00
111,Tank Dell,WR,15.0,DellNa00
112,Garrett Wilson,WR,12.5,WilsGa00
113,Gabriel Davis,WR,9.49,DaviGa01
114,Romeo Doubs,WR,10.3,DoubRo00
115,Kenny Pickett,QB,9.18,PickKe00
116,Rashid Shaheed*+,WR,10.4,ShahRa00
117,Rhamondre Stevenson,RB,12.1,StevRh00
118,Mac Jones,QB,9.67,JoneMa05
119,Aaron Jones,RB,12.3,JoneAa00
120,Cooper Kupp,WR,13.7,KuppCo00
121,Drake London,WR,10.9,LondDr00
122,Kareem Hunt,RB,7.90,HuntKa00
123,Alexander Mattison,RB,8.32,MattAl01
124,Diontae Johnson,WR,11.7,JohnDi01
125,Will Levis,QB,11.3,LeviWi00
126,Tyjae Spears,RB,9.05,SpeaTy00
127,Joe Flacco,QB,20.2,FlacJo00
128,Darius Slayton,WR,8.88,SlayDa01
129,AJ Dillon,RB,7.84,DillAJ00
