FantPos,PPR,Year
RB,24.5,2023
WR,23.7,2023
QB,23.1,2023
WR,23.5,2023
QB,21,2023
RB,17.8,2023
WR,20.7,2023
QB,20.2,2023
WR,16.6,2023
QB,20.7,2023
TE,14.1,2023
RB,16.6,2023
RB,21.3,2023
WR,17.6,2023
WR,16.9,2023
RB,14.5,2023
RB,15.7,2023
QB,18.8,2023
RB,17.1,2023
WR,17,2023
WR,16.2,2023
TE,12.7,2023
WR,17.4,2023
RB,15.8,2023
WR,15.6,2023
TE,14.6,2023
WR,21.5,2023
TE,14.6,2023
WR,16.1,2023
TE,12.6,2023
QB,18.5,2023
RB,14.8,2023
WR,16.4,2023
WR,15.6,2023
RB,16.1,2023
TE,13.5,2023
RB,13.7,2023
RB,14.5,2023
WR,14.1,2023
QB,17,2023
TE,8.97,2023
WR,15.1,2023
RB,15.9,2023
WR,13.5,2023
WR,13.6,2023
TE,10.7,2023
WR,13,2023
TE,10.4,2023
WR,13.2,2023
QB,17.5,2023
WR,13.7,2023
RB,15.5,2023
RB,11,2023
WR,14.2,2023
WR,12.3,2023
TE,10.7,2023
WR,14.5,2023
QB,18.4,2023
RB,13.3,2023
QB,16.1,2023
RB,15.3,2023
WR,15.6,2023
RB,13.1,2023
RB,12.4,2023
RB,11.5,2023
QB,15.9,2023
TE,10,2023
TE,13.5,2023
RB,17.3,2023
WR,20.2,2023
RB,13.2,2023
WR,13.3,2023
RB,12.5,2023
WR,11.9,2023
WR,12.3,2023
QB,16.4,2023
QB,15.1,2023
QB,17.1,2023
QB,16.2,2023
QB,14.2,2023
QB,18,2023
QB,17.7,2023
QB,15.2,2023
QB,15.4,2023
QB,11.5,2023
QB,11.8,2023
RB,17.9,2023
QB,9.78,2023
QB,18.7,2023
QB,14.7,2023
QB,18.3,2023
RB,10.7,2023
RB,13.9,2023
QB,16,2023
RB,12.1,2023
RB,9.84,2023
RB,15.6,2023
RB,11.6,2023
RB,13.2,2023
RB,11.2,2023
WR,12.9,2023
WR,13.6,2023
WR,14.2,2023
WR,12.3,2023
QB,11.4,2023
RB,10.3,2023
WR,11.9,2023
RB,8.09,2023
QB,9.99,2023
WR,10.8,2023
WR,15,2023
WR,12.5,2023
WR,9.49,2023
WR,10.3,2023
QB,9.18,2023
WR,10.4,2023
RB,12.1,2023
QB,9.67,2023
RB,12.3,2023
WR,13.7,2023
WR,10.9,2023
RB,7.9,2023
RB,8.32,2023
WR,11.7,2023
QB,11.3,2023
RB,9.05,2023
QB,20.2,2023
WR,8.88,2023
RB,7.84,2023
WR,11.5,2023
WR,9.82,2023
QB,10.4,2023
RB,9.38,2023
WR,12.5,2023
WR,9.24,2023
WR,7.58,2023
WR,8.86,2023
WR,8.81,2023
QB,7.94,2023
QB,14.5,2023
WR,9.62,2023
TE,8.08,2023
WR,7.7,2023
RB,6.83,2023
WR,7.99,2023
RB,5.94,2023
RB,10.1,2023
QB,8,2023
RB,7.96,2023
WR,8.52,2023
TE,8.56,2023
TE,9.74,2023
TE,9.39,2023
WR,8.81,2023
WR,7.34,2023
RB,5.72,2023
RB,6.24,2023
WR,6.65,2023
TE,7.31,2023
WR,7.03,2023
WR,7.68,2023
RB,6.63,2023
WR,7.77,2023
QB,18.2,2023
WR,8.88,2023
WR,11.3,2023
WR,7.5,2023
TE,7.92,2023
TE,5.95,2023
RB,7.14,2023
TE,6.85,2023
RB,5.91,2023
WR,10.2,2023
WR,10.7,2023
QB,6.92,2023
RB,6.81,2023
QB,13.5,2023
RB,6.09,2023
QB,13.3,2023
QB,13.2,2023
QB,24.6,2022
RB,19.3,2022
RB,21,2022
RB,18.9,2022
WR,21.7,2022
RB,21.9,2022
QB,24.7,2022
WR,19.7,2022
TE,18.6,2022
RB,16.6,2022
WR,20.4,2022
QB,25.2,2022
WR,17.6,2022
WR,19.8,2022
RB,17.8,2022
WR,17.7,2022
QB,21.9,2022
RB,13.3,2022
WR,15.2,2022
RB,15.6,2022
RB,14,2022
RB,12.7,2022
TE,13.4,2022
WR,14.5,2022
TE,9.11,2022
RB,14.6,2022
WR,16.7,2022
WR,15,2022
TE,12.7,2022
WR,14.2,2022
RB,13.1,2022
WR,20.2,2022
RB,14.7,2022
RB,17.1,2022
WR,14.8,2022
WR,13.5,2022
RB,13.5,2022
WR,13.4,2022
WR,15,2022
QB,17.9,2022
WR,13.8,2022
TE,12.7,2022
RB,12.1,2022
RB,12.4,2022
QB,17.4,2022
QB,19.7,2022
WR,13.3,2022
WR,13.6,2022
WR,11.7,2022
QB,17.2,2022
TE,10.4,2022
WR,12.7,2022
QB,18.1,2022
RB,14.1,2022
RB,15.4,2022
RB,14.1,2022
QB,16.7,2022
WR,22.4,2022
WR,13.2,2022
TE,8.66,2022
WR,11.4,2022
WR,11.7,2022
QB,16.5,2022
TE,8.43,2022
WR,14.9,2022
RB,11.1,2022
RB,13.7,2022
RB,9.96,2022
WR,13.5,2022
WR,12.4,2022
TE,9.05,2022
TE,11.8,2022
QB,16,2022
QB,14.1,2022
QB,19.7,2022
QB,17.8,2022
QB,15.1,2022
QB,14.6,2022
QB,18.2,2022
QB,16.6,2022
QB,15.1,2022
QB,12.1,2022
QB,12.4,2022
QB,12.2,2022
QB,10.5,2022
QB,15,2022
QB,13.4,2022
QB,12.9,2022
QB,11.5,2022
RB,9.86,2022
RB,11.5,2022
RB,11.1,2022
RB,10.5,2022
RB,9.91,2022
RB,12.8,2022
RB,11.9,2022
RB,9.42,2022
RB,11.9,2022
RB,7.71,2022
RB,7.94,2022
QB,10.1,2022
RB,11.1,2022
RB,13.3,2022
QB,12.9,2022
WR,11.7,2022
WR,9.79,2022
WR,13.6,2022
WR,12.9,2022
QB,14.1,2022
WR,10.4,2022
WR,13,2022
WR,10.6,2022
WR,10.4,2022
RB,9.06,2022
QB,12,2022
WR,10.5,2022
WR,11.6,2022
WR,9.83,2022
QB,11.8,2022
RB,8.88,2022
RB,9.39,2022
WR,16.4,2022
QB,11,2022
WR,9.07,2022
WR,10.6,2022
WR,10.9,2022
RB,16.4,2022
WR,9.15,2022
WR,10.6,2022
WR,10.6,2022
RB,7.46,2022
WR,13,2022
WR,11.2,2022
RB,8.18,2022
WR,16.9,2022
RB,8.67,2022
WR,8.77,2022
QB,14.4,2022
TE,9.51,2022
QB,14.3,2022
RB,7.88,2022
RB,6.61,2022
TE,9.26,2022
TE,10.1,2022
TE,8.72,2022
WR,8.03,2022
RB,9.83,2022
TE,7.77,2022
TE,8.94,2022
WR,7.2,2022
WR,8.29,2022
WR,7.99,2022
RB,8.05,2022
WR,7.79,2022
TE,7.74,2022
RB,10.2,2022
RB,8.26,2022
RB,5.85,2022
QB,10.6,2022
TE,7.21,2022
WR,9.51,2022
RB,5.2,2022
WR,8.38,2022
WR,7.16,2022
WR,7.92,2022
WR,7.31,2022
WR,7.02,2022
WR,6.47,2022
TE,11.6,2022
WR,11.7,2022
WR,6.84,2022
WR,8.93,2022
WR,7.19,2022
WR,6.61,2022
WR,7.51,2022
WR,7.53,2022
TE,5.78,2022
WR,7.42,2022
RB,5.97,2022
RB,5.17,2022
RB,21.9,2021
WR,25.9,2021
WR,21.2,2021
QB,23.7,2021
RB,21.5,2021
QB,22.4,2021
QB,22,2021
WR,17.9,2021
TE,17.7,2021
